GeneID	MedianGroup0	MedianGroup1	MedianGroup2
hsa-miR-574-5p	2649.0	179.0	0.0
hsa-miR-576-5p	85.0	18.5	0.0
hsa-miR-584-5p	0.0	206.0	26.5
hsa-miR-589-5p	55.0	0.0	0.0
hsa-miR-590-3p	83.0	0.0	0.0
hsa-miR-598-3p	109.0	0.0	0.0
hsa-miR-625-3p	0.0	230.5	0.0
hsa-miR-625-5p	482.0	0.0	0.0
hsa-miR-627-5p	40.0	0.0	0.0
hsa-miR-628-3p	445.0	23.5	0.0
hsa-miR-629-5p	2312.0	391.5	122.5
hsa-miR-642a-3p	26.0	0.0	0.0
hsa-miR-651-5p	55.0	0.0	0.0
hsa-miR-6511a-3p	0.0	41.0	0.0
hsa-miR-652-3p	668.0	1287.5	157.5
hsa-miR-660-5p	961.0	70.5	0.0
hsa-miR-664a-3p	0.0	24.0	0.0
hsa-miR-664a-5p	158.0	21.0	0.0
hsa-miR-6734-5p	173.0	0.0	0.0
hsa-miR-6735-5p	22.0	0.0	0.0
hsa-miR-6741-5p	25.0	0.0	0.0
hsa-miR-6780a-5p	18.0	0.0	0.0
hsa-miR-6803-3p	0.0	139.5	0.0
hsa-miR-6815-5p	67.0	0.0	0.0
hsa-miR-7-5p	5577.0	1028.5	55.0
hsa-miR-744-5p	1050.0	48.5	0.0
hsa-miR-760	22.0	0.0	0.0
hsa-miR-769-5p	37.0	0.0	0.0
hsa-miR-7976	0.0	25.5	0.0
hsa-miR-877-5p	536.0	102.0	14.0
hsa-miR-885-3p	12.0	0.0	0.0
hsa-miR-885-5p	0.0	323.0	32.5
hsa-miR-92a-3p	8407.5	171109.0	9500.0
hsa-miR-92b-3p	258.0	402.5	10.5
hsa-miR-92b-5p	81.0	0.0	0.0
hsa-miR-93-3p	43.0	16.5	0.0
hsa-miR-93-5p	65834.0	2532.0	50.0
hsa-miR-941	106.0	46.5	0.0
hsa-miR-942-5p	165.0	105.0	0.0
hsa-miR-95-3p	117.0	0.0	0.0
hsa-miR-96-5p	0.0	25.5	0.0
hsa-miR-98-5p	14144.0	1167.0	71.0
hsa-miR-99a-5p	64.0	419.5	136.5
hsa-miR-99b-5p	386.0	706.0	334.0
